Source,Target,Weight
1,1786,Inf
1,1787,3636.203
1,1788,3497.855
1,1789,3405.599
1,1790,3343.351
1,1791,3308.347
1,1792,3288.927
1,127,Inf
1,128,3408.49
1,129,3173.703
1,130,2987.993
1,131,2840.804
1,132,2725.699
1,133,2629.842
1,1933,Inf
1,1934,3694.268
1,1935,3574.286
1,1936,3491.523
1,1937,3449.056
1,1938,3434.547
1,1939,3442.454
1,46467,Inf
1,46468,4080.805
1,46469,3805.174
1,46470,3589.765
1,46471,3432.913
1,46472,3319.291
1,46473,3238.459
1,44808,Inf
1,44809,3328.333
1,44810,3241.104
1,44811,3187.39
1,44812,3175.139
1,44813,3278.935
1,44814,3407.724
1,46614,Inf
1,46615,3922.223
1,46616,3643.552
1,46617,3430.722
1,46618,3265.122
1,46619,3134.628
1,46620,3015.669
1,44738,Inf
1,44739,3330.887
1,44740,3228.454
1,44741,3160.111
1,44742,3123.473
1,44743,3108.493
1,44744,3117.061
2,1786,3206.109
2,1787,2798.81
2,1788,2534.2
2,1789,2340.199
2,1790,2196.467
2,1791,2094.181
2,1792,2021.137
2,127,1848.362
2,128,3488.792
2,129,3244.927
2,130,3050.977
2,131,2896.971
2,132,2773.388
2,133,2673.996
2,1933,3206.109
2,1934,2214.108
2,1935,3386.659
2,1936,3222.073
2,1937,3100.638
2,1938,3009.673
2,1939,2942.872
2,46467,3206.109
2,46468,3072.026
2,46469,2861.41
2,46470,2695.763
2,46471,2577.233
2,46472,3566.132
2,46473,3478.544
2,44808,1848.362
2,44809,3158.487
2,44810,3217.315
2,44811,3288.988
2,44812,3349.448
2,44813,3414.824
2,44814,3505.865
2,46614,3206.109
2,46615,3291.914
2,46616,3054.674
2,46617,2873.676
2,46618,2732.706
2,46619,2621.306
2,46620,3322.812
2,44738,1848.362
2,44739,3076.16
2,44740,2946.697
2,44741,2857.536
2,44742,2846.198
2,44743,2909.912
2,44744,2998.327
3,1786,3100.586
3,1787,1639.143
3,1788,2542.709
3,1789,2325.078
3,1790,2161.87
3,1791,2043.289
3,1792,1956.582
3,127,2067.057
3,128,3489.318
3,129,3245.409
3,130,3051.425
3,131,2897.391
3,132,2773.785
3,133,2674.374
3,1933,3100.586
3,1934,2149.584
3,1935,2037.89
3,1936,3254.022
3,1937,3131.134
3,1938,3039.037
3,1939,2971.355
3,46467,3100.586
3,46468,2960.772
3,46469,2757.326
3,46470,2597.168
3,46471,2482.864
3,46472,2402.022
3,46473,2346.292
3,44808,2067.057
3,44809,3136.683
3,44810,3196.444
3,44811,3268.761
3,44812,3329.649
3,44813,3395.286
3,44814,3486.457
3,46614,3100.586
3,46615,3156.694
3,46616,2928.342
3,46617,2754.173
3,46618,2618.487
3,46619,2511.183
3,46620,2410.128
3,44738,2067.057
3,44739,2994.04
3,44740,2867.792
3,44741,2780.783
3,44742,2770.799
3,44743,2835.256
3,44744,2923.93
4,1786,3035.275
4,1787,1591.264
4,1788,1456.707
4,1789,2322.741
4,1790,2138.582
4,1791,2002.374
4,1792,1900.754
4,127,2288.276
4,128,3504.446
4,129,3259.289
4,130,3064.308
4,131,2909.466
4,132,2785.198
4,133,2685.24
4,1933,3035.275
4,1934,2094.975
4,1935,1986.936
4,1936,1899.742
4,1937,3143.786
4,1938,3051.219
4,1939,2983.172
4,46467,3035.275
4,46468,2857.835
4,46469,2661.024
4,46470,2505.943
4,46471,2395.55
4,46472,2317.72
4,46473,2264.297
4,44808,2288.276
4,44809,3120.886
4,44810,3181.323
4,44811,3254.107
4,44812,3315.305
4,44813,3381.131
4,44814,3472.395
4,46614,3035.275
4,46615,3057.6
4,46616,2835.762
4,46617,2666.596
4,46618,2534.783
4,46619,2430.481
4,46620,2331.743
4,44738,2288.276
4,44739,2914.689
4,44740,2791.547
4,44741,2706.617
4,44742,2697.943
4,44743,2763.116
4,44744,2852.042
5,1786,2999.405
5,1787,1514.128
5,1788,1400.998
5,1789,1295.076
5,1790,2137.287
5,1791,1981.596
5,1792,1863.451
5,127,2511.129
5,128,3511.389
5,129,3265.658
5,130,3070.219
5,131,2915.007
5,132,2790.435
5,133,2690.226
5,1933,2999.405
5,1934,2049.401
5,1935,1944.412
5,1936,1859.57
5,1937,1800.105
5,1938,3055.58
5,1939,2987.403
5,46467,2999.405
5,46468,2782.385
5,46469,2590.436
5,46470,2439.077
5,46471,2331.551
5,46472,2255.929
5,46473,2204.197
5,44808,2511.129
5,44809,3103.388
5,44810,3164.574
5,44811,3237.876
5,44812,3299.417
5,44813,3365.451
5,44814,3456.82
5,46614,2999.405
5,46615,2986.758
5,46616,2769.576
5,46617,2603.989
5,46618,2474.944
5,46619,2372.787
5,46620,2275.706
5,44738,2511.129
5,44739,2870.575
5,44740,2749.16
5,44741,2665.386
5,44742,2657.44
5,44743,2723.012
5,44744,2812.077
6,1786,2968.176
6,1787,1409.465
6,1788,1319.32
6,1789,1232.697
6,1790,1146.037
6,1791,1981.344
6,1792,1845.013
6,127,2718.817
6,128,3516.4
6,129,3270.256
6,130,3074.487
6,131,2919.007
6,132,2794.216
6,133,2693.825
6,1933,2968.176
6,1934,2022.843
6,1935,1919.632
6,1936,1836.16
6,1937,1777.759
6,1938,1735.919
6,1939,2990.925
6,46467,2968.176
6,46468,2731.979
6,46469,2543.278
6,46470,2394.406
6,46471,2288.794
6,46472,2214.648
6,46473,2164.045
6,44808,2718.817
6,44809,3085.891
6,44810,3147.827
6,44811,3221.645
6,44812,3283.53
6,44813,3349.773
6,44814,3441.247
6,46614,2968.176
6,46615,2930.487
6,46616,2717.004
6,46617,2554.258
6,46618,2427.412
6,46619,2326.96
6,46620,2231.195
6,44738,2718.817
6,44739,2851.458
6,44740,2730.792
6,44741,2647.519
6,44742,2639.888
6,44743,2705.633
6,44744,2794.759
7,1786,2962.907
7,1787,1278.038
7,1788,1211.838
7,1789,1145.451
7,1790,1076.271
7,1791,1007.55
7,1792,1842.999
7,127,2932.978
7,128,3524.612
7,129,3277.789
7,130,3081.48
7,131,2925.561
7,132,2860.663
7,133,2896.783
7,1933,2962.907
7,1934,2066.791
7,1935,1960.639
7,1936,1874.899
7,1937,1814.737
7,1938,1771.524
7,1939,1741.853
7,46467,2962.907
7,46468,2679.649
7,46469,2494.321
7,46470,2348.03
7,46471,2244.406
7,46472,2171.791
7,46473,2122.362
7,44808,2932.978
7,44809,3068.867
7,44810,3131.531
7,44811,3205.853
7,44812,3268.071
7,44813,3334.518
7,44814,3426.093
7,46614,2962.907
7,46615,2899.507
7,46616,2688.06
7,46617,2526.879
7,46618,2401.244
7,46619,2301.73
7,46620,2206.69
7,44738,2932.978
7,44739,2832.466
7,44740,2712.543
7,44741,2629.768
7,44742,2622.451
7,44743,2688.366
7,44744,2777.553
8,1786,Inf
8,1787,3636.203
8,1788,3497.855
8,1789,3405.599
8,1790,3343.351
8,1791,3308.347
8,1792,3288.927
8,127,Inf
8,128,3408.49
8,129,3173.703
8,130,2987.993
8,131,2840.804
8,132,2725.699
8,133,2629.842
8,1933,Inf
8,1934,3694.268
8,1935,3574.286
8,1936,3491.523
8,1937,3449.056
8,1938,3434.547
8,1939,3442.454
8,46467,Inf
8,46468,4080.805
8,46469,3805.174
8,46470,3589.765
8,46471,3432.913
8,46472,3319.291
8,46473,3238.459
8,44808,Inf
8,44809,3328.333
8,44810,3241.104
8,44811,3187.39
8,44812,3175.139
8,44813,3278.935
8,44814,3407.724
8,46614,Inf
8,46615,3922.223
8,46616,3643.552
8,46617,3430.722
8,46618,3265.122
8,46619,3134.628
8,46620,3015.669
8,44738,Inf
8,44739,3330.887
8,44740,3228.454
8,44741,3160.111
8,44742,3123.473
8,44743,3108.493
8,44744,3117.061
9,1786,730.2064
9,1787,4179.505
9,1788,4023.342
9,1789,3924.617
9,1790,3863.867
9,1791,3831.552
9,1792,3821.194
9,127,4421.806
9,128,3261.479
9,129,2980.622
9,130,2756.061
9,131,2575.285
9,132,2430.302
9,133,2308.345
9,1933,4421.806
9,1934,3974.468
9,1935,3842.491
9,1936,3751.447
9,1937,3703.485
9,1938,3685.624
9,1939,3691.863
9,46467,730.2064
9,46468,4671.68
9,46469,4379.736
9,46470,4157.464
9,46471,3987.537
9,46472,3857.96
9,46473,3760.164
9,44808,4421.806
9,44809,3451.347
9,44810,3358.852
9,44811,3301.503
9,44812,3286.839
9,44813,3389.164
9,44814,3517.22
9,46614,4421.806
9,46615,3765.62
9,46616,3497.243
9,46617,3292.322
9,46618,3132.84
9,46619,3007.091
9,46620,2891.795
9,44738,730.2064
9,44739,3905.382
9,44740,3765.683
9,44741,3675.804
9,44742,3628.958
9,44743,3616.112
9,44744,3626.607
10,1786,822.0821
10,1787,4207.49
10,1788,4050.232
10,1789,3950.774
10,1790,3889.562
10,1791,3856.995
10,1792,3846.548
10,127,4110.411
10,128,4436.674
10,129,2991.784
10,130,2760.084
10,131,2573.231
10,132,2422.972
10,133,2296.405
10,1933,4110.411
10,1934,3992.757
10,1935,3859.997
10,1936,3768.413
10,1937,3720.092
10,1938,3702.012
10,1939,3708.142
10,46467,822.0821
10,46468,4676.689
10,46469,4384.422
10,46470,4161.902
10,46471,3991.786
10,46472,3862.062
10,46473,3764.154
10,44808,4110.411
10,44809,3458.634
10,44810,3365.827
10,44811,3308.262
10,44812,3293.456
10,44813,3395.693
10,44814,3523.706
10,46614,4110.411
10,46615,5104.244
10,46616,3471.378
10,46617,3267.855
10,46618,3109.456
10,46619,2984.545
10,46620,2869.896
10,44738,822.0821
10,44739,3925.268
10,44740,3784.791
10,44741,3694.39
10,44742,3647.216
10,44743,3634.19
10,44744,3644.622
11,1786,914.7127
11,1787,4224.193
11,1788,4066.281
11,1789,3966.385
11,1790,3904.898
11,1791,3872.179
11,1792,3861.68
11,127,3859.18
11,128,4449.514
11,129,4059.908
11,130,2770.178
11,131,2576.766
11,132,2420.827
11,133,2289.297
11,1933,3859.18
11,1934,4011.044
11,1935,3877.502
11,1936,3785.377
11,1937,3736.697
11,1938,3718.399
11,1939,3724.42
11,46467,914.7127
11,46468,4680.325
11,46469,4387.824
11,46470,4165.126
11,46471,3994.87
11,46472,3865.04
11,46473,3767.051
11,44808,3859.18
11,44809,3469.245
11,44810,3375.983
11,44811,3318.105
11,44812,3303.09
11,44813,3405.201
11,44814,3533.15
11,46614,3859.18
11,46615,5135.331
11,46616,4776.92
11,46617,3243.391
11,46618,3086.074
11,46619,2962.001
11,46620,2848
11,44738,914.7127
11,44739,3945.151
11,44740,3803.895
11,44741,3712.974
11,44742,3665.471
11,44743,3652.266
11,44744,3662.635
12,1786,1009.232
12,1787,4240.848
12,1788,4082.284
12,1789,3981.951
12,1790,3920.189
12,1791,3887.32
12,1792,3876.768
12,127,3658.466
12,128,4451.371
12,129,4070.512
12,130,3750.031
12,131,2585.966
12,132,2423.938
12,133,2287.088
12,1933,3658.466
12,1934,4029.333
12,1935,3895.008
12,1936,3802.342
12,1937,3753.304
12,1938,3734.787
12,1939,3740.698
12,46467,1009.232
12,46468,4697.634
12,46469,4404.018
12,46470,4180.465
12,46471,4009.552
12,46472,3879.216
12,46473,3780.839
12,44808,3658.466
12,44809,3482.131
12,44810,3388.318
12,44811,3330.059
12,44812,3314.791
12,44813,3416.747
12,44814,3544.621
12,46614,3658.466
12,46615,5157.938
12,46616,4798.042
12,46617,4522.807
12,46618,3065.474
12,46619,2942.141
12,46620,2828.709
12,44738,1009.232
12,44739,3965.035
12,44740,3823.001
12,44741,3731.559
12,44742,3683.728
12,44743,3670.343
12,44744,3680.649
13,1786,1105.957
13,1787,4257.501
13,1788,4098.286
13,1789,3997.517
13,1790,3935.48
13,1791,3902.461
13,1792,3891.855
13,127,3497.836
13,128,4442.816
13,129,4071.761
13,130,3759.424
13,131,3492.215
13,132,2440.289
13,133,2297.199
13,1933,3497.836
13,1934,4598.752
13,1935,3912.513
13,1936,3819.307
13,1937,3769.91
13,1938,3751.175
13,1939,3756.977
13,46467,1105.957
13,46468,4720.306
13,46469,4425.228
13,46470,4200.557
13,46471,4028.783
13,46472,3897.783
13,46473,3798.897
13,44808,3497.836
13,44809,4705.665
13,44810,3402.052
13,44811,3343.369
13,44812,3327.821
13,44813,3429.605
13,44814,3557.393
13,46614,3497.836
13,46615,5180.417
13,46616,4819.043
13,46617,4542.673
13,46618,4327.905
13,46619,2924.163
13,46620,2811.248
13,44738,1105.957
13,44739,3984.919
13,44740,3842.107
13,44741,3750.144
13,44742,3701.985
13,44743,3688.42
13,44744,3698.663
14,1786,1204.865
14,1787,4276.167
14,1788,4116.22
14,1789,4014.963
14,1790,3952.618
14,1791,3919.429
14,1792,3908.765
14,127,3368.703
14,128,4431.641
14,129,4070.738
14,130,3766.819
14,131,3506.717
14,132,3281.972
14,133,2332.227
14,1933,3368.703
14,1934,4609.72
14,1935,3930.019
14,1936,3836.272
14,1937,3786.517
14,1938,3767.562
14,1939,3773.256
14,46467,1204.865
14,46468,4742.555
14,46469,4446.043
14,46470,4220.275
14,46471,4047.655
14,46472,3916.004
14,46473,3816.62
14,44808,3368.703
14,44809,4724.256
14,44810,3415.158
14,44811,3356.071
14,44812,3340.254
14,44813,3441.874
14,44814,3569.581
14,46614,3368.703
14,46615,5202.652
14,46616,4839.816
14,46617,4562.324
14,46618,4346.686
14,46619,4177.407
14,46620,2793.785
14,44738,1204.865
14,44739,4004.806
14,44740,3861.215
14,44741,3768.73
14,44742,3720.244
14,44743,3706.499
14,44744,3716.679
15,1786,Inf
15,1787,3636.203
15,1788,3497.855
15,1789,3405.599
15,1790,3343.351
15,1791,3308.347
15,1792,3288.927
15,127,Inf
15,128,3408.49
15,129,3173.703
15,130,2987.993
15,131,2840.804
15,132,2725.699
15,133,2629.842
15,1933,Inf
15,1934,3694.268
15,1935,3574.286
15,1936,3491.523
15,1937,3449.056
15,1938,3434.547
15,1939,3442.454
15,46467,Inf
15,46468,4080.805
15,46469,3805.174
15,46470,3589.765
15,46471,3432.913
15,46472,3319.291
15,46473,3238.459
15,44808,Inf
15,44809,3328.333
15,44810,3241.104
15,44811,3187.39
15,44812,3175.139
15,44813,3278.935
15,44814,3407.724
15,46614,Inf
15,46615,3922.223
15,46616,3643.552
15,46617,3430.722
15,46618,3265.122
15,46619,3134.628
15,46620,3015.669
15,44738,Inf
15,44739,3330.887
15,44740,3228.454
15,44741,3160.111
15,44742,3123.473
15,44743,3108.493
15,44744,3117.061
16,1786,487.2683
16,1787,2744.206
16,1788,2650.748
16,1789,2583.594
16,1790,2542.379
16,1791,2522.285
16,1792,2512.074
16,127,2950.68
16,128,4099.793
16,129,3860.176
16,130,3671.542
16,131,3523.244
16,132,3409.105
16,133,3314.041
16,1933,2950.68
16,1934,3688.284
16,1935,3517.935
16,1936,3381.064
16,1937,3282.635
16,1938,3210.142
16,1939,3158.254
16,46467,487.2683
16,46468,3168.653
16,46469,2943.946
16,46470,2784.372
16,46471,2660.91
16,46472,2565.147
16,46473,2491.744
16,44808,2950.68
16,44809,3672.192
16,44810,3521.589
16,44811,3404.859
16,44812,3330.787
16,44813,3376.36
16,44814,3442.704
16,46614,2950.68
16,46615,4397.601
16,46616,4059.261
16,46617,3791.669
16,46618,3574.73
16,46619,3395.447
16,46620,3228.181
16,44738,487.2683
16,44739,2528.099
16,44740,2449.177
16,44741,2406.883
16,44742,2392.314
16,44743,2399.816
16,44744,2420.188
17,1786,540.7463
17,1787,2717.626
17,1788,2625.208
17,1789,2558.751
17,1790,2517.975
17,1791,2498.121
17,1792,2487.993
17,127,2703.732
17,128,4107.317
17,129,3989.964
17,130,3797.091
17,131,3645.448
17,132,3528.745
17,133,3431.476
17,1933,2703.732
17,1934,3818.385
17,1935,3643.761
17,1936,3503.229
17,1937,3402.032
17,1938,3327.328
17,1939,3273.666
17,46467,540.7463
17,46468,3138.92
17,46469,2916.129
17,46470,2758.022
17,46471,2635.69
17,46472,2540.797
17,46473,2468.06
17,44808,2703.732
17,44809,3774.347
17,44810,3621.68
17,44811,3503.179
17,44812,3428.119
17,44813,3476.234
17,44814,3545.417
17,46614,2703.732
17,46615,4413.397
17,46616,4160.019
17,46617,3887.927
17,46618,3667.198
17,46619,3484.63
17,46620,3313.899
17,44738,540.7463
17,44739,2487.109
17,44740,2409.792
17,44741,2368.571
17,44742,2354.679
17,44743,2362.551
17,44744,2383.053
18,1786,591.794
18,1787,2690.658
18,1788,2599.296
18,1789,2533.546
18,1790,2493.214
18,1791,2473.604
18,1792,2463.562
18,127,2496.784
18,128,4108.088
18,129,3997.289
18,130,3928.914
18,131,3773.506
18,132,3653.891
18,133,3554.11
18,1933,2496.784
18,1934,3954.025
18,1935,3774.648
18,1936,3630.049
18,1937,3525.748
18,1938,3448.55
18,1939,3392.872
18,46467,591.794
18,46468,3108.924
18,46469,2888.066
18,46470,2731.439
18,46471,2610.246
18,46472,2516.231
18,46473,2444.167
18,44808,2496.784
18,44809,3877.298
18,44810,3722.362
18,44811,3601.906
18,44812,3525.708
18,44813,3576.348
18,44814,3648.354
18,46614,2496.784
18,46615,4377.541
18,46616,4181.106
18,46617,3987.9
18,46618,3762.964
18,46619,3576.761
18,46620,3402.238
18,44738,591.794
18,44739,2447.004
18,44740,2371.256
18,44741,2331.087
18,44742,2317.856
18,44743,2326.09
18,44744,2346.72
19,1786,640.2104
19,1787,2668.12
19,1788,2577.64
19,1789,2512.48
19,1790,2472.521
19,1791,2453.114
19,1792,2443.143
19,127,2320.763
19,128,4111.155
19,129,4007.165
19,130,3944.612
19,131,3915.751
19,132,3792.488
19,133,3689.565
19,1933,2320.763
19,1934,4095.692
19,1935,3911.053
19,1936,3761.957
19,1937,3654.201
19,1938,3574.209
19,1939,3516.259
19,46467,640.2104
19,46468,3078.213
19,46469,2859.335
19,46470,2704.222
19,46471,2584.196
19,46472,2491.08
19,46473,2419.704
19,44808,2320.763
19,44809,3979.835
19,44810,3822.494
19,44811,3699.951
19,44812,3622.51
19,44813,3675.691
19,44814,3750.536
19,46614,2320.763
19,46615,4333.667
19,46616,4146.429
19,46617,4013.239
19,46618,3861.331
19,46619,3671.174
19,46620,3492.562
19,44738,640.2104
19,44739,2409.32
19,44740,2335.048
19,44741,2295.866
19,44742,2283.257
19,44743,2291.832
19,44744,2312.58
20,1786,687.3801
20,1787,2647.152
20,1788,2557.493
20,1789,2492.882
20,1790,2453.269
20,1791,2434.052
20,1792,2424.148
20,127,2173.992
20,128,4112.577
20,129,4015.854
20,130,3959.522
20,131,3936.091
20,132,3941.996
20,133,3835.409
20,1933,2173.992
20,1934,4233.867
20,1935,4053.15
20,1936,3899.118
20,1937,3787.546
20,1938,3704.456
20,1939,3643.973
20,46467,687.3801
20,46468,3046.525
20,46469,2829.689
20,46470,2676.14
20,46471,2557.317
20,46472,2465.129
20,46473,2394.463
20,44808,2173.992
20,44809,4076.802
20,44810,3926.029
20,44811,3801.086
20,44812,3722.156
20,44813,3777.783
20,44814,3855.392
20,46614,2173.992
20,46615,4283.056
20,46616,4105.64
20,46617,3980.286
20,46618,3891.582
20,46619,3768.691
20,46620,3585.663
20,44738,687.3801
20,44739,2369.279
20,44740,2296.575
20,44741,2258.442
20,44742,2246.493
