Id,Label,Color
1,1786,Black
2,1787,Black
3,1788,Black
4,1789,Black
5,1790,Black
6,1791,Black
7,1792,Black
8,127,Black
9,128,Black
10,129,Black
11,130,Black
12,131,Black
13,132,Black
14,133,Black
15,1933,Black
16,1934,Black
17,1935,Black
18,1936,Black
19,1937,Black
20,1938,Black
21,1939,Black
22,46467,Black
23,46468,Black
24,46469,Black
25,46470,Black
26,46471,Black
27,46472,Black
28,46473,Black
29,44808,Black
30,44809,Black
31,44810,Black
32,44811,Black
33,44812,Black
34,44813,Black
35,44814,Black
36,46614,Black
37,46615,Black
38,46616,Black
39,46617,Black
40,46618,Black
41,46619,Black
42,46620,Black
43,44738,Black
44,44739,Black
45,44740,Black
46,44741,Black
47,44742,Black
48,44743,Black
49,44744,Black
50,1786,Black
51,1787,Black
52,1788,Black
53,1789,Black
54,1790,Black
55,1791,Black
56,1792,Black
57,127,Black
58,128,Black
59,129,Black
60,130,Black
61,131,Black
62,132,Black
63,133,Black
64,1933,Black
65,1934,Black
66,1935,Black
67,1936,Black
68,1937,Black
69,1938,Black
70,1939,Black
71,46467,Black
72,46468,Black
73,46469,Black
74,46470,Black
75,46471,Black
76,46472,Black
77,46473,Black
78,44808,Black
79,44809,Black
80,44810,Black
81,44811,Black
82,44812,Black
83,44813,Black
84,44814,Black
85,46614,Black
86,46615,Black
87,46616,Black
88,46617,Black
89,46618,Black
90,46619,Black
91,46620,Black
92,44738,Black
93,44739,Black
94,44740,Black
95,44741,Black
96,44742,Black
97,44743,Black
98,44744,Black
99,1786,Black
100,1787,Black
101,1788,Black
102,1789,Black
103,1790,Black
104,1791,Black
105,1792,Black
106,127,Black
107,128,Black
108,129,Black
109,130,Black
110,131,Black
111,132,Black
112,133,Black
113,1933,Black
114,1934,Black
115,1935,Black
116,1936,Black
117,1937,Black
118,1938,Black
119,1939,Black
120,46467,Black
121,46468,Black
122,46469,Black
123,46470,Black
124,46471,Black
125,46472,Black
126,46473,Black
127,44808,Black
128,44809,Black
129,44810,Black
130,44811,Black
131,44812,Black
132,44813,Black
133,44814,Black
134,46614,Black
135,46615,Black
136,46616,Black
137,46617,Black
138,46618,Black
139,46619,Black
140,46620,Black
141,44738,Black
142,44739,Black
143,44740,Black
144,44741,Black
145,44742,Black
146,44743,Black
147,44744,Black
148,1786,Black
149,1787,Black
150,1788,Black
151,1789,Black
152,1790,Black
153,1791,Black
154,1792,Black
155,127,Black
156,128,Black
157,129,Black
158,130,Black
159,131,Black
160,132,Black
161,133,Black
162,1933,Black
163,1934,Black
164,1935,Black
165,1936,Black
166,1937,Black
167,1938,Black
168,1939,Black
169,46467,Black
170,46468,Black
171,46469,Black
172,46470,Black
173,46471,Black
174,46472,Black
175,46473,Black
176,44808,Black
177,44809,Black
178,44810,Black
179,44811,Black
180,44812,Black
181,44813,Black
182,44814,Black
183,46614,Black
184,46615,Black
185,46616,Black
186,46617,Black
187,46618,Black
188,46619,Black
189,46620,Black
190,44738,Black
191,44739,Black
192,44740,Black
193,44741,Black
194,44742,Black
195,44743,Black
196,44744,Black
197,1786,Black
198,1787,Black
199,1788,Black
200,1789,Black
201,1790,Black
202,1791,Black
203,1792,Black
204,127,Black
205,128,Black
206,129,Black
207,130,Black
208,131,Black
209,132,Black
210,133,Black
211,1933,Black
212,1934,Black
213,1935,Black
214,1936,Black
215,1937,Black
216,1938,Black
217,1939,Black
218,46467,Black
219,46468,Black
220,46469,Black
221,46470,Black
222,46471,Black
223,46472,Black
224,46473,Black
225,44808,Black
226,44809,Black
227,44810,Black
228,44811,Black
229,44812,Black
230,44813,Black
231,44814,Black
232,46614,Black
233,46615,Black
234,46616,Black
235,46617,Black
236,46618,Black
237,46619,Black
238,46620,Black
239,44738,Black
240,44739,Black
241,44740,Black
242,44741,Black
243,44742,Black
244,44743,Black
245,44744,Black
246,1786,Black
247,1787,Black
248,1788,Black
249,1789,Black
250,1790,Black
251,1791,Black
252,1792,Black
253,127,Black
254,128,Black
255,129,Black
256,130,Black
257,131,Black
258,132,Black
259,133,Black
260,1933,Black
261,1934,Black
262,1935,Black
263,1936,Black
264,1937,Black
265,1938,Black
266,1939,Black
267,46467,Black
268,46468,Black
269,46469,Black
270,46470,Black
271,46471,Black
272,46472,Black
273,46473,Black
274,44808,Black
275,44809,Black
276,44810,Black
277,44811,Black
278,44812,Black
279,44813,Black
280,44814,Black
281,46614,Black
282,46615,Black
283,46616,Black
284,46617,Black
285,46618,Black
286,46619,Black
287,46620,Black
288,44738,Black
289,44739,Black
290,44740,Black
291,44741,Black
292,44742,Black
293,44743,Black
294,44744,Black
295,1786,Black
296,1787,Black
297,1788,Black
298,1789,Black
299,1790,Black
300,1791,Black
301,1792,Black
302,127,Black
303,128,Black
304,129,Black
305,130,Black
306,131,Black
307,132,Black
308,133,Black
309,1933,Black
310,1934,Black
311,1935,Black
